bID,d13C,d15N
b143,-23.06,5.67
b144,-23.34,4.85
b145,-23.38,4.61
b145,-22.952,4.69
b145,-22.69,4.74
b145,-22.988,4.48
b145,-23.196,4.63
b145,-23.55,4.49
b146,-23.17,4.82
b147,-23.22,5.06
b147,-23.49,5.14
b148,-23.23,5.29
b149,-22.636,4.01
b149,-22.874,4.36
b149,-22.792,4.4
b149,-23.142,4.31
b149,-22.45,3.86
b149,-22.778,4.81
b149,-23.126,4.49
b150,-23.32,4.91
b150,-23.064,4.06
b150,-23.152,4.24
b150,-22.39,4.63
b150,-22.768,4.47
b150,-22.636,5.51
b151,-23.09,4.97
b151,-22.956,4.59
b151,-22.804,4.41
b152,-23.2,4.97
b152,-22.766,4.38
b153,-23.14,4.72
b154,-23.17,5.01
b155,-22.93,5.03
b155,-22.924,4.39
b155,-22.862,4.5
b156,-22.89,4.91
b157,-23.74,4.83
b157,-23.258,4.65
b158,-23.7,4.93
b158,-23.378,4.72
b159,-22.99,5.36
b159,-22.876,4.61
b159,-22.694,4.69
b159,-22.858,4.42
b159,-23.196,4.89
b159,-23.242,4.85
b160,-23.28,4.53
b160,-22.524,4.33
b160,-22.87,4.57
b160,-23.176,4.21
b160,-23.12,4.42
b161,-23.37,4.81
b161,-23.254,4.53
b161,-23.362,3.95
b162,-22.95,5.43
b162,-22.784,4.28
b162,-23.22,4.4
b162,-23.63,3.91
b163,-22.938,4.57
b163,-22.776,4.83
b164,-23.07,4.66
b164,-23.368,4.88
b164,-22.886,4.79
b164,-23.054,5
b164,-23.302,5.41
b164,-23.15,5.71
b164,-23.358,5.37
b164,-23.516,5.47
b165,-23.23,4.44
b165,-23.158,4.6
b165,-23.106,4.29
b166,-23.338,5.03
b167,-23.378,5.25
b168,-23.298,5.35
b168,-22.864,4.17
b168,-22.862,4.79
b168,-22.97,4.81
b169,-23.228,5.47
b170,-23.108,5.18
b171,-22.778,5.24
b171,-23.132,4.27
b171,-23.3,4.63
b172,-22.688,5.12
b173,-23.168,5.35
b174,-23.008,5.46
b175,-23.318,5.33
b176,-23.158,5.61
b177,-23.108,5.12
b178,-23.188,5.05
b178,-23.056,5.36
b178,-22.962,4.74
b178,-23.006,5.17
b178,-23.192,4.68
b179,-23.332,3.94
b179,-23.108,4.49
b179,-23,4.09
b180,-23.128,6.13
b180,-22.908,5.83
b181,-23.188,5.66
b181,-23.244,5.4
b181,-23.424,4.98
b181,-23.302,5.95
b181,-22.89,6.72
b182,-23.278,5.69
b182,-23.016,5.34
b182,-23.332,5.67
b182,-23.19,5.53
b182,-23.228,5.82
b182,-23.496,6.9
b183,-22.87,4.65
b183,-22.992,4.48
b184,-22.796,6.18
b185,-22.786,5.58
b185,-23.284,5.27
b185,-23.472,5.64
b185,-23.48,7
b186,-22.806,5.73
b187,-23.156,5.36
b188,-23.256,6.18
b188,-23.234,5.91
b188,-23.082,6.07
b188,-23.02,6.81
b188,-23.038,6.55
b188,-23.336,6.6
b189,-22.916,4.14
b189,-23.134,3.71
b189,-23.352,3.93
b189,-22.68,4.59
b189,-22.818,4.49
b189,-22.926,5.09
b190,-23.036,4.3
b191,-23.226,4.92
b191,-22.684,4.39
b192,-23.056,5.25
b192,-22.644,4.75
b193,-23.206,4.95
b193,-22.764,4.06
