bID,repro,yr,d13C,d15N
b107,4,9,-22.964,4.76
b107,1,12,-22.918,5.04
b108,4,9,-23.474,4.5
b109,4,9,-23.504,4.36
b109,1,11,-22.81,4.85
b110,4,9,-23.254,4.56
b111,4,9,-23.504,4.93
b112,4,9,-23.454,4.64
b112,1,11,-23.36,4.51
b112,1,12,-23.378,4.71
b113,1,11,-23.34,4.92
b113,1,12,-23.638,5.11
b113,1,13,-23.196,4.77
b113,1,14,-23.094,4.85
b114,4,9,-23.524,4.35
b115,4,9,-23.504,4.15
b116,2,9,-22.894,6.07
b116,4,9,-23.254,4.41
b116,1,12,-22.648,4.39
b117,4,9,-23.234,4.35
b117,1,12,-23.008,4.52
b118,4,9,-22.884,5.1
b119,4,9,-23.134,4.29
b120,4,9,-22.924,4.88
b121,4,9,-23.444,5.09
b122,4,9,-23.154,4.36
b122,1,11,-22.83,4.63
b122,1,12,-22.798,4.67
b122,1,13,-22.706,4.62
b122,1,14,-22.704,4.18
b123,2,9,-23.594,7.11
b123,2,11,-23.4,6.55
b123,2,13,-23.286,7.14
b123,2,15,-23.672,6.57
b124,3,11,-23.16,4.81
b124,3,13,-22.686,4.23
b124,1,14,-22.834,4.31
b124,3,16,-22.93,4.18
b124,3,18,-23.556,4.65
b125,2,9,-23.184,4.31
b126,1,10,-23.192,4.35
b126,1,11,-23.07,4.64
b127,2,10,-23.072,5.53
b128,4,10,-23.132,5.05
b129,4,10,-22.972,4.97
b129,1,12,-22.998,4.74
b129,1,13,-22.716,4.86
b129,1,14,-22.894,4.71
b130,4,10,-22.562,3.76
b130,1,15,-22.832,4.22
b131,4,10,-23.642,4.28
b132,4,10,-23.452,4.02
b133,4,10,-23.892,4.4
b133,1,12,-22.768,4.83
b133,1,13,-22.736,4.16
b133,1,14,-22.464,4.39
b134,4,10,-23.042,4.8
b134,4,10,-22.812,4.16
b135,4,10,-23.092,4.3
b136,4,10,-23.042,4.48
b137,4,10,-22.772,4.58
b138,4,10,-23.012,4.98
b139,4,10,-22.792,4.61
b140,4,10,-23.112,4.3
b141,3,12,-23.178,4.57
b141,3,16,-22.17,4.26
b142,4,11,-23.47,4.9
b143,4,11,-23.06,5.67
b144,4,11,-23.34,4.85
b145,4,11,-23.38,4.61
b145,1,15,-22.952,4.69
b145,1,16,-22.69,4.74
b145,1,17,-22.988,4.48
b145,3,18,-23.196,4.63
b145,3,20,-23.55,4.49
b146,4,11,-23.17,4.82
b147,4,11,-23.22,5.06
b147,4,11,-23.49,5.14
b148,4,11,-23.23,5.29
b149,1,13,-22.636,4.01
b149,1,14,-22.874,4.36
b149,1,15,-22.792,4.4
b149,1,15,-23.142,4.31
b149,1,16,-22.45,3.86
b149,1,17,-22.778,4.81
b149,1,18,-23.126,4.49
b150,4,11,-23.32,4.91
b150,1,14,-23.064,4.06
b150,1,15,-23.152,4.24
b150,1,16,-22.39,4.63
b150,1,17,-22.768,4.47
b150,1,18,-22.636,5.51
b151,4,11,-23.09,4.97
b151,2,13,-22.956,4.59
b151,2,14,-22.804,4.41
b152,4,11,-23.2,4.97
b152,2,13,-22.766,4.38
b153,4,11,-23.14,4.72
b154,4,11,-23.17,5.01
b155,4,11,-22.93,5.03
b155,1,14,-22.924,4.39
b155,1,15,-22.862,4.5
b156,4,11,-22.89,4.91
b157,4,11,-23.74,4.83
b157,4,12,-23.258,4.65
b158,4,11,-23.7,4.93
b158,4,12,-23.378,4.72
b159,4,11,-22.99,5.36
b159,1,13,-22.876,4.61
b159,1,14,-22.694,4.69
b159,3,17,-22.858,4.42
b159,1,18,-23.196,4.89
b159,3,19,-23.242,4.85
b160,4,11,-23.28,4.53
b160,1,14,-22.524,4.33
b160,1,16,-22.87,4.57
b160,3,18,-23.176,4.21
b160,3,20,-23.12,4.42
b161,4,11,-23.37,4.81
b161,1,14,-23.254,4.53
b161,1,15,-23.362,3.95
b162,4,11,-22.95,5.43
b162,1,14,-22.784,4.28
b162,3,16,-23.22,4.4
b162,3,20,-23.63,3.91
b163,1,12,-22.938,4.57
b163,1,13,-22.776,4.83
b164,2,11,-23.07,4.66
b164,2,12,-23.368,4.88
b164,2,13,-22.886,4.79
b164,2,14,-23.054,5
b164,2,15,-23.302,5.41
b164,2,16,-23.15,5.71
b164,2,17,-23.358,5.37
b164,2,18,-23.516,5.47
b165,3,11,-23.23,4.44
b165,1,12,-23.158,4.6
b165,1,13,-23.106,4.29
b166,4,12,-23.338,5.03
b167,4,12,-23.378,5.25
b168,4,12,-23.298,5.35
b168,1,14,-22.864,4.17
b168,1,15,-22.862,4.79
b168,1,16,-22.97,4.81
b169,4,12,-23.228,5.47
b170,4,12,-23.108,5.18
b171,4,12,-22.778,5.24
b171,1,15,-23.132,4.27
b171,3,20,-23.3,4.63
b172,4,12,-22.688,5.12
b173,4,12,-23.168,5.35
b174,4,12,-23.008,5.46
b175,4,12,-23.318,5.33
b176,4,12,-23.158,5.61
b177,4,12,-23.108,5.12
b178,4,12,-23.188,5.05
b178,4,13,-23.056,5.36
b178,1,15,-22.962,4.74
b178,1,18,-23.006,5.17
b178,3,19,-23.192,4.68
b179,3,15,-23.332,3.94
b179,3,17,-23.108,4.49
b179,1,20,-23,4.09
b180,2,12,-23.128,6.13
b180,2,12,-22.908,5.83
b181,2,12,-23.188,5.66
b181,2,14,-23.244,5.4
b181,2,14,-23.424,4.98
b181,2,15,-23.302,5.95
b181,2,16,-22.89,6.72
b182,2,12,-23.278,5.69
b182,2,13,-23.016,5.34
b182,2,15,-23.332,5.67
b182,2,16,-23.19,5.53
b182,2,17,-23.228,5.82
b182,2,18,-23.496,6.9
b183,3,16,-22.87,4.65
b183,3,19,-22.992,4.48
b184,2,13,-22.796,6.18
b185,2,13,-22.786,5.58
b185,2,14,-23.284,5.27
b185,2,15,-23.472,5.64
b185,2,16,-23.48,7
b186,2,13,-22.806,5.73
b187,2,13,-23.156,5.36
b188,2,13,-23.256,6.18
b188,2,14,-23.234,5.91
b188,2,15,-23.082,6.07
b188,2,16,-23.02,6.81
b188,2,17,-23.038,6.55
b188,2,18,-23.336,6.6
b189,4,13,-22.916,4.14
b189,1,14,-23.134,3.71
b189,1,15,-23.352,3.93
b189,1,16,-22.68,4.59
b189,1,17,-22.818,4.49
b189,1,18,-22.926,5.09
b190,4,13,-23.036,4.3
b191,4,13,-23.226,4.92
b191,4,14,-22.684,4.39
b192,4,13,-23.056,5.25
b192,4,14,-22.644,4.75
b193,4,13,-23.206,4.95
b193,4,14,-22.764,4.06
b193,2,15,-23.322,4.25
b193,2,16,-23.68,6.17
b194,4,13,-23.106,4.83
b194,4,14,-22.754,3.96
b194,2,15,-23.102,4.29
b194,2,16,-22.76,5.22
b194,2,17,-23.418,4.88
b194,2,18,-23.556,5.24
b195,4,13,-23.126,4.81
b195,4,14,-22.844,3.9
b195,2,15,-23.132,4.17
b195,2,16,-22.86,5.01
b195,2,17,-23.078,5.42
b195,2,18,-23.476,5.11
b196,1,14,-23.614,4.13
b197,4,13,-23.146,4.69
b197,1,14,-24.054,3.67
b198,4,13,-22.776,4.5
b199,4,13,-22.516,4.63
b200,4,13,-22.696,4.54
b201,4,13,-22.726,4.15
b201,1,14,-22.734,3.34
b201,1,16,-22.26,4.03
b201,1,17,-22.698,4.3
b201,1,18,-22.786,4.31
b201,1,20,-21.06,4.38
b202,4,13,-23.006,4.63
b203,4,13,-22.866,4.6
b203,1,14,-22.894,3.66
b203,1,15,-22.782,4.1
b203,1,16,-22.51,4.14
b203,1,17,-22.998,4.26
b204,4,13,-22.686,4.68
b205,4,13,-23.036,4.51
b206,4,13,-23.006,4.5
b207,4,13,-22.926,4.59
b207,2,14,-23.284,4.2
b207,2,16,-23.16,4.82
b208,4,13,-22.606,4.51
b208,1,14,-23.254,3.85
b208,1,17,-23.298,4.11
b208,1,18,-23.516,4.55
b209,3,15,-22.682,4.11
b210,2,13,-23.446,4.14
b210,2,14,-23.204,5.14
b210,2,15,-23.342,5.8
b211,4,14,-23.204,5.3
b211,4,15,-23.182,4.98
b211,2,16,-23.33,5.09
b212,4,14,-22.824,5.64
b212,4,15,-23.182,5.33
b212,2,16,-23.71,6.29
b213,4,14,-23.114,4.64
b213,4,15,-23.152,5.09
b213,2,16,-23.19,4.96
b214,4,14,-23.124,4.69
b214,4,15,-22.992,4.57
b214,1,17,-22.848,4.99
b215,4,14,-22.924,5.21
b216,4,14,-22.804,5.02
b217,4,14,-23.624,5.04
b217,4,15,-23.402,4.54
b218,4,14,-23.664,4.43
b218,4,15,-23.522,4.55
b218,2,17,-23.358,5.26
b218,2,18,-23.336,4.83
b219,4,14,-23.684,4.89
b219,4,15,-23.422,4.68
b220,4,14,-23.114,4.46
b220,2,16,-22.91,4.27
b220,2,17,-23.178,5.07
b220,2,18,-23.546,5.93
b221,4,14,-23.344,4.72
b222,4,14,-23.024,5.04
b223,2,14,-22.914,7.04
b224,2,14,-23.394,4.69
b225,2,14,-23.414,5.35
b226,2,15,-23.302,5.99
b226,2,16,-23.19,6.32
b227,4,15,-23.402,4.55
b228,4,15,-23.212,4.49
b229,4,15,-23.462,4.6
b230,4,15,-23.102,4.9
b230,4,16,-22.93,4.4
b231,4,15,-23.142,4.82
b231,4,16,-22.98,4.5
b232,4,15,-23.322,4.13
b233,4,15,-23.302,4.42
b234,4,15,-23.262,4.67
b235,4,15,-22.832,4.41
b235,2,17,-22.968,5.05
b236,4,15,-22.792,4.56
b236,1,18,-22.876,5.02
b237,4,15,-23.192,4.46
b238,4,15,-22.842,4.36
b239,4,15,-23.272,4.74
b240,4,15,-22.922,3.97
b241,4,15,-22.932,4.38
b244,4,15,-22.942,4.29
b244,1,18,-23.036,4.73
b244,3,20,-23.07,4.54
b245,2,15,-23.742,5.62
b245,2,16,-23.29,5.9
b245,2,17,-23.458,6.94
b246,2,15,-23.452,6.83
b246,2,16,-23.9,5.91
b247,4,16,-22.55,4.56
b248,4,16,-22.51,4.74
b249,4,16,-23.41,5.18
b249,2,17,-22.888,4.86
b249,2,18,-23.046,4.35
b250,4,16,-22.51,4.7
b251,4,16,-22.52,4.46
b252,4,16,-22.49,4.66
b253,4,16,-22.49,4.43
b254,4,16,-22.76,4.54
b255,4,16,-22.77,4.53
b256,4,16,-22.73,4.51
b256,1,19,-23.102,4.67
b256,1,20,-23.31,4.94
b257,4,16,-23.03,4.41
b258,4,16,-23.24,4.94
b258,3,20,-23.44,4.85
b259,4,16,-23.17,5
b260,4,16,-23.26,4.08
b261,2,17,-23.188,6.22
b262,1,18,-22.856,4.42
b262,3,20,-23.8,5.17
b263,4,17,-23.768,5.57
b264,4,17,-23.328,5.79
