d13C,d15N
-23.056,5.36
-22.962,4.74
-23.006,5.17
-23.192,4.68
-23.332,3.94
-23.108,4.49
-23,4.09
-23.128,6.13
-22.908,5.83
-23.188,5.66
-23.244,5.4
-23.424,4.98
-23.302,5.95
-22.89,6.72
-23.278,5.69
-23.016,5.34
-23.332,5.67
-23.19,5.53
-23.228,5.82
-23.496,6.9
-22.87,4.65
-22.992,4.48
-22.796,6.18
-22.786,5.58
-23.284,5.27
-23.472,5.64
-23.48,7
-22.806,5.73
-23.156,5.36
-23.256,6.18
-23.234,5.91
-23.082,6.07
-23.02,6.81
-23.038,6.55
-23.336,6.6
-22.916,4.14
-23.134,3.71
-23.352,3.93
-22.68,4.59
-22.818,4.49
-22.926,5.09
-23.036,4.3
-23.226,4.92
-22.684,4.39
-23.056,5.25
-22.644,4.75
-23.206,4.95
-22.764,4.06
-23.322,4.25
-23.68,6.17
-23.106,4.83
-22.754,3.96
-23.102,4.29
-22.76,5.22
-23.418,4.88
-23.556,5.24
-23.126,4.81
-22.844,3.9
-23.132,4.17
-22.86,5.01
-23.078,5.42
-23.476,5.11
-23.614,4.13
-23.146,4.69
-24.054,3.67
-22.776,4.5
-22.516,4.63
-22.696,4.54
-22.726,4.15
-22.734,3.34
-22.26,4.03
-22.698,4.3
-22.786,4.31
-21.06,4.38
-23.006,4.63
-22.866,4.6
-22.894,3.66
-22.782,4.1
-22.51,4.14
-22.998,4.26
-22.686,4.68
-23.036,4.51
-23.006,4.5
-22.926,4.59
-23.284,4.2
-23.16,4.82
-22.606,4.51
-23.254,3.85
-23.298,4.11
-23.516,4.55
-22.682,4.11
-23.446,4.14
-23.204,5.14
-23.342,5.8
-23.204,5.3
-23.182,4.98
-23.33,5.09
-22.824,5.64
-23.182,5.33
-23.71,6.29
-23.114,4.64
-23.152,5.09
-23.19,4.96
-23.124,4.69
-22.992,4.57
-22.848,4.99
-22.924,5.21
-22.804,5.02
-23.624,5.04
-23.402,4.54
-23.664,4.43
-23.522,4.55
-23.358,5.26
-23.336,4.83
-23.684,4.89
-23.422,4.68
-23.114,4.46
-22.91,4.27
-23.178,5.07
-23.546,5.93
-23.344,4.72
-23.024,5.04
-22.914,7.04
-23.394,4.69
-23.414,5.35
-23.302,5.99
-23.19,6.32
-23.402,4.55
-23.212,4.49
-23.462,4.6
-23.102,4.9
-22.93,4.4
-23.142,4.82
-22.98,4.5
-23.322,4.13
-23.302,4.42
-23.262,4.67
-22.832,4.41
-22.968,5.05
-22.792,4.56
-22.876,5.02
-23.192,4.46
-22.842,4.36
-23.272,4.74
-22.922,3.97
-22.932,4.38
-22.942,4.29
-23.036,4.73
-23.07,4.54
-23.742,5.62
-23.29,5.9
-23.458,6.94
-23.452,6.83
-23.9,5.91
-22.55,4.56
-22.51,4.74
-23.41,5.18
-22.888,4.86
-23.046,4.35
-22.51,4.7
-22.52,4.46
-22.49,4.66
-22.49,4.43
-22.76,4.54
-22.77,4.53
-22.73,4.51
-23.102,4.67
-23.31,4.94
-23.03,4.41
-23.24,4.94
-23.44,4.85
-23.17,5
-23.26,4.08
-23.188,6.22
-22.856,4.42
-23.8,5.17
-23.768,5.57
-23.328,5.79
-23.406,4.99
-23.442,5.42
-23.228,5.47
-23.316,5.18
-23.772,5.66
-24.02,6.15
-23.478,5.38
-23.838,5.71
-23.738,5.44
-23.25,4.56
-23.466,4.6
-23.326,6.09
