"","sampleID","BearID","pubname","year.sampled","year.represent","bearyear.sampled","bearyear.represent","sex","birth","age","reprostatus.represent","C13","N15","trophicpos","weight","headcirc","capturedate","Cmonth","cort.kit","cortisol","C13.suess","fYR"
"668","632","W9403","Grivla",2012,2011,"W9403_2012","W9403_2011","F","1993","19","SolitaryF",-22.67,5.02,"2.95","NA","62",2012-05-21,"5","2","5.52",-22.758,"2011"
"669","583","W9403","Grivla",2013,2012,"W9403_2013","W9403_2012","F","1993","20","WithCubs",-23.1,5.18,"2.99","93","62.5",2013-04-23,"4","2","5.69",-23.166,"2012"
"670","52","W9404","Börrine",1996,1995,"W9404_1996","W9404_1995","F","1993","3","SolitaryF",-22.23,3.73,"2.57","68","53",1996-04-20,"4","1","1.52",-22.67,"1995"
"671","17","W9404","Börrine",1997,1996,"W9404_1997","W9404_1996","F","1993","4","SolitaryF",-22.45,4.23,"2.71","83.5","56",1997-06-30,"6","1","1.04",-22.868,"1996"
"672","162","W9404","Börrine",1999,1998,"W9404_1999","W9404_1998","F","1993","6","WithCubs",-22.58,4.05,"2.66","89","57",1999-04-20,"4","1","2.73",-22.954,"1998"
"673","271","W9404","Börrine",2002,2001,"W9404_2002","W9404_2001","F","1993","9","WithCubs",-22.88,4.11,"2.68","104","64",2002-04-24,"4","1","2.62",-23.188,"2001"
"674","370","W9404","Börrine",2004,2003,"W9404_2004","W9404_2003","F","1993","11","SolitaryF",-22.66,4.38,"2.76","105","63",2004-06-09,"6","1","1.1000000000000001",-22.924,"2003"
"675","53","W9407","Rasken",1996,1995,"W9407_1996","W9407_1995","M","1993","3","SolitaryM",-22.35,3.74,"2.57","68","56",1996-04-19,"4","1","2.25",-22.79,"1995"
"676","222","W9502","Binna",2000,1999,"W9502_2000","W9502_1999","F","1994","6","WithCubs",-22.44,4.97,"2.93","104","63",2000-04-14,"4","1","2.27",-22.792,"1999"
"677","272","W9502","Binna",2002,2001,"W9502_2002","W9502_2001","F","1994","8","WithCubs",-22.86,4.2,"2.71","88","62",2002-04-19,"4","1","5.88",-23.168,"2001"
"678","371","W9502","Binna",2004,2003,"W9502_2004","W9502_2003","F","1994","10","WithCubs",-23.2,3.85,"2.6","100","64",2004-04-14,"4","1","3.03",-23.464,"2003"
"679","55","W9504","Donna",1996,1995,"W9504_1996","W9504_1995","F","1994","2","SolitaryF",-22.36,4.52,"2.8","35","46.5",1996-05-02,"5","1","2.15",-22.8,"1995"
"680","18","W9504","Donna",1997,1996,"W9504_1997","W9504_1996","F","1994","3","SolitaryF",-22.38,4.8,"2.88","76","NA",1997-06-30,"6","1","1.83",-22.798,"1996"
"681","223","W9504","Donna",2000,1999,"W9504_2000","W9504_1999","F","1994","6","WithCubs",-22.39,4.99,"2.94","82","57",2000-04-28,"4","1","3.1",-22.742,"1999"
"682","56","W9505","Vrang-ola",1996,1995,"W9505_1996","W9505_1995","M","1988","8","SolitaryM",-22.51,5.21,"3","189","76",1996-04-19,"4","1","1.47",-22.95,"1995"
"683","19","W9505","Vrang-ola",1997,1996,"W9505_1997","W9505_1996","M","1988","9","SolitaryM",-22.67,5.86,"3.19","NA","77",1997-04-18,"4","1","2.52",-23.088,"1996"
"684","273","W9505","Vrang-ola",2002,2001,"W9505_2002","W9505_2001","M","1988","14","SolitaryM",-22.9,6.15,"3.28","215","82",2002-04-11,"4","1","3.91",-23.208,"2001"
