sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
42,W9202,Rivsjö,1996,1995,W9202_1996,W9202_1995,M,1991,5,SolitaryM,-22.03,5.37,3.05,102,62,4/10/1996,4,1,1.25
9,W9202,Rivsjö,1997,1996,W9202_1997,W9202_1996,M,1991,6,SolitaryM,-22.29,6.6,3.41,121,64,4/11/1997,4,1,1.27
126,W9202,Rivsjö,1998,1997,W9202_1998,W9202_1997,M,1991,7,SolitaryM,-22.54,6.19,3.29,150,71,4/20/1998,4,1,1.33
113,W9203,Trollbäck,1992,1991,W9203_1992,W9203_1991,F,1991,1,WithMother,NA,NA,NA,21,39,4/9/1992,4,1,2.03
115,W9205,Kullbods,1992,1991,W9205_1992,W9205_1991,M,1991,1,WithMother,NA,NA,NA,41,48,9/14/1992,4,1,2.03
116,W9206,Kero,1992,1991,W9206_1992,W9206_1991,M,1991,1,WithMother,NA,NA,NA,25,40,4/11/1992,4,1,2.03
10,W9206,Kero,1997,1996,W9206_1997,W9206_1996,M,1991,6,SolitaryM,-22.91,5.37,3.05,181,72,4/9/1997,4,1,2.03
117,W9207,Koska,1992,1991,W9207_1992,W9207_1991,F,1991,1,WithMother,NA,NA,NA,16,38,4/11/1992,4,1,2.03
43,W9207,Koska,1996,1995,W9207_1996,W9207_1995,F,1991,5,WithCubs,-23,3.54,2.51,76,56,4/20/1996,4,1,3
118,W9208,Barka,1992,1991,W9208_1992,W9208_1991,F,1991,1,WithMother,NA,NA,NA,20.5,39,4/11/1992,4,1,2.03
102,W9208,Barka,1993,1992,W9208_1993,W9208_1992,F,1991,2,SolitaryF,-22.08,3.87,2.61,39.5,50,4/23/1993,4,1,2.03
95,W9208,Barka,1994,1993,W9208_1994,W9208_1993,F,1991,3,SolitaryF,NA,NA,NA,69.5,56,4/11/1994,4,1,2.44
44,W9208,Barka,1996,1995,W9208_1996,W9208_1995,F,1991,5,SolitaryF,-22.02,4.58,2.82,101,61.5,4/11/1996,4,1,1.92
11,W9208,Barka,1997,1996,W9208_1997,W9208_1996,F,1991,6,WithCubs,-22.44,5.37,3.05,99,59,4/17/1997,4,1,2.03
96,W9301,Heros,1994,1993,W9301_1994,W9301_1993,M,1989,5,SolitaryM,NA,NA,NA,118,63,4/12/1994,4,1,1.69
127/2,W9301,Heros,1998,1997,W9301_1998,W9301_1997,M,1989,9,SolitaryM,NA,NA,NA,210,74,4/16/1998,4,1,1.46
218,W9301,Heros,2000,1999,W9301_2000,W9301_1999,M,1989,11,SolitaryM,-22.79,6.73,3.45,234,78,4/8/2000,4,1,2
240,W9301,Heros,2001,2000,W9301_2001,W9301_2000,M,1989,12,SolitaryM,-22.83,6.72,3.45,215,78,4/9/2001,4,1,2.41
325,W9301,Heros,2003,2002,W9301_2003,W9301_2002,M,1989,14,SolitaryM,-22.57,5.59,3.11,209,82,4/17/2003,4,1,4.14
412,W9301,Heros,2005,2004,W9301_2005,W9301_2004,M,1989,16,SolitaryM,-23.4,4.49,2.79,79.5,82,4/13/2005,4,1,5.08
478,W9301,Heros,2007,2006,W9301_2007,W9301_2006,M,1989,18,SolitaryM,-22.97,5.57,3.11,234,83,4/18/2007,4,1,5.29
514,W9301,Heros,2008,2007,W9301_2008,W9301_2007,M,1989,19,SolitaryM,-22.93,4.87,2.9,188,79,4/8/2008,4,1,5.69
726,W9301,Heros,2009,2008,W9301_2009,W9301_2008,M,1989,20,SolitaryM,-22.97,4.82,2.89,186,79,4/6/2009,4,2,10.6
787,W9301,Heros,2010,2009,W9301_2010,W9301_2009,M,1989,21,SolitaryM,-22.77,6.18,3.29,170,78,4/13/2010,4,2,9.76
NA,W9301,Heros,2011,2010,W9301_2011,W9301_2010,M,1989,22,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
97,W9304,Volskjökungen,1994,1993,W9304_1994,W9304_1993,M,1991,3,SolitaryM,NA,NA,NA,NA,65,4/8/1994,4,1,0.86
103,W9305,Jussin,1993,1992,W9305_1993,W9305_1992,M,1992,1,WithMother,NA,NA,NA,18.5,41,4/15/1993,4,1,2.03
80,W9306,Ava,1995,1994,W9306_1995,W9306_1994,F,1992,3,SolitaryF,NA,NA,NA,59,52,4/18/1995,4,1,2.02
45,W9306,Ava,1996,1995,W9306_1996,W9306_1995,F,1992,4,SolitaryF,-22.18,4.36,2.75,90,58,7/9/1996,7,1,0.88
128,W9306,Ava,1998,1997,W9306_1998,W9306_1997,F,1992,6,WithCubs,-22.49,3.8,2.59,84,58,4/18/1998,4,1,1.7
46,W9307,Tippa,1996,1995,W9307_1996,W9307_1995,F,1992,4,SolitaryF,-22.39,4.47,2.79,70,55,4/13/1996,4,1,2.13
12,W9307,Tippa,1997,1996,W9307_1997,W9307_1996,F,1992,5,SolitaryF,-22.7,4.79,2.88,63,57,4/8/1997,4,1,2.03
219,W9307,Tippa,2000,1999,W9307_2000,W9307_1999,F,1992,8,WithCubs,-22.55,4.77,2.87,89,59,4/27/2000,4,1,3.29
269,W9307,Tippa,2002,2001,W9307_2002,W9307_2001,F,1992,10,WithCubs,-22.7,4.59,2.82,89,59,4/20/2002,4,1,5.31
872,W9307,Tippa,2004,2003,W9307_2004,W9307_2003,F,1992,12,WithCubs,-23.31,4.48,2.79,110,65,4/16/2004,4,2,9.66
47,W9308,Järva,1996,1995,W9308_1996,W9308_1995,F,1988,8,SolitaryF,-22.15,5.17,2.99,109,63,7/8/1996,7,1,1.08
129,W9308,Järva,1998,1997,W9308_1998,W9308_1997,F,1988,10,WithCubs,-22.29,4.26,2.72,95,63,4/27/1998,4,1,2.64
859,W9308,Järva,2003,2002,W9308_2003,W9308_2002,F,1988,15,WithCubs,-22.45,4.34,2.75,101,65,4/24/2003,4,2,9.38
446,W9308,Järva,2006,2005,W9308_2006,W9308_2005,F,1988,18,WithCubs,-22.69,4.25,2.72,93,66,5/1/2006,5,1,3.43
727,W9308,Järva,2009,2008,W9308_2009,W9308_2008,F,1988,21,WithCubs,-22.66,4.08,2.67,110,70,4/21/2009,4,2,13.3
48,W9310,Sari,1996,1995,W9310_1996,W9310_1995,F,1992,4,SolitaryF,-22.39,4.68,2.85,85,59,4/10/1996,4,1,1.44
130,W9310,Sari,1998,1997,W9310_1998,W9310_1997,F,1992,6,WithCubs,-22.15,3.99,2.64,90,62,4/15/1998,4,1,1.75
220,W9310,Sari,2000,1999,W9310_2000,W9310_1999,F,1992,8,WithCubs,-22.55,3.87,2.61,100,60,4/14/2000,4,1,2.72
326,W9310,Sari,2003,2002,W9310_2003,W9310_2002,F,1992,11,WithCubs,-22.58,3.2,2.41,88,64,4/16/2003,4,1,6.31
81,W9311,Jan-kampi,1995,1994,W9311_1995,W9311_1994,M,1992,3,SolitaryM,NA,NA,NA,66,56,4/24/1995,4,1,2.86
49,W9311,Jan-kampi,1996,1995,W9311_1996,W9311_1995,M,1992,4,SolitaryM,-22.14,4.42,2.77,112,65,4/18/1996,4,1,0.52
13,W9311,Jan-kampi,1997,1996,W9311_1997,W9311_1996,M,1992,5,SolitaryM,-22.42,4.78,2.88,145,67,4/18/1997,4,1,1.53
161,W9311,Jan-kampi,1999,1998,W9311_1999,W9311_1998,M,1992,7,SolitaryM,-22.7,5.41,3.06,179,74,4/9/1999,4,1,1.37
241,W9311,Jan-kampi,2001,2000,W9311_2001,W9311_2000,M,1992,9,SolitaryM,-22.64,5.17,2.99,226,82,4/18/2001,4,1,2.15
327,W9311,Jan-kampi,2003,2002,W9311_2003,W9311_2002,M,1992,11,SolitaryM,-22.65,5.18,2.99,218,82,4/16/2003,4,1,1.93
368,W9311,Jan-kampi,2004,2003,W9311_2004,W9311_2003,M,1992,12,SolitaryM,-23.22,4.98,2.94,210,82,6/15/2004,6,1,4.71
413,W9311,Jan-kampi,2005,2004,W9311_2005,W9311_2004,M,1992,13,SolitaryM,NA,NA,NA,195,82,6/20/2005,6,1,5.94
414,W9311,Jan-kampi,NA,NA,W9311_NA,W9311_NA,M,1992,NA,NA,-22.8,4.27,2.73,NA,NA,NA,13,1,NA
50,W9401,Loke,1996,1995,W9401_1996,W9401_1995,M,1993,3,SolitaryM,-22.23,4.95,2.93,83,59,4/10/1996,4,1,1.73
14,W9401,Loke,1997,1996,W9401_1997,W9401_1996,M,1993,4,SolitaryM,-22.64,4.94,2.92,125,65,4/9/1997,4,1,1.65
242,W9401,Loke,2001,2000,W9401_2001,W9401_2000,M,1993,8,SolitaryM,-22.63,4.58,2.82,208,78,4/19/2001,4,1,2.62
328,W9401,Loke,2003,2002,W9401_2003,W9401_2002,M,1993,10,SolitaryM,-22.61,4.88,2.91,210,81,4/25/2003,4,1,2.61
98,W9402,Kanga,1994,1993,W9402_1994,W9402_1993,F,1993,1,WithMother,NA,NA,NA,23,38,4/13/1994,4,1,2.77
82,W9402,Kanga,1995,1994,W9402_1995,W9402_1994,F,1993,2,SolitaryF,NA,NA,NA,40.5,46.5,4/23/1995,4,1,3.21
15,W9402,Kanga,1997,1996,W9402_1997,W9402_1996,F,1993,4,SolitaryF,-22.35,5.73,3.16,79,55,7/1/1997,7,1,0.68
99,W9403,Grivla,1994,1993,W9403_1994,W9403_1993,F,1993,1,WithMother,NA,NA,NA,19,40,4/13/1994,4,1,2.8
51,W9403,Grivla,1996,1995,W9403_1996,W9403_1995,F,1993,3,SolitaryF,-22.69,3.96,2.64,52,50,4/23/1996,4,1,1.99
16,W9403,Grivla,1997,1996,W9403_1997,W9403_1996,F,1993,4,SolitaryF,-22.14,4.55,2.81,77,54,4/15/1997,4,1,0.55
221,W9403,Grivla,2000,1999,W9403_2000,W9403_1999,F,1993,7,WithCubs,-22.28,4.89,2.91,102,58,4/15/2000,4,1,2.34
270,W9403,Grivla,2002,2001,W9403_2002,W9403_2001,F,1993,9,WithCubs,-22.44,4.47,2.79,80,58,4/22/2002,4,1,4.12
369,W9403,Grivla,2004,2003,W9403_2004,W9403_2003,F,1993,11,SolitaryF,-22.62,4.7,2.85,105,61.5,6/22/2004,6,1,1.33
888,W9403,Grivla,2006,2005,W9403_2006,W9403_2005,F,1993,13,WithCubs,-23.03,4.41,2.77,90,62,5/2/2006,5,2,6.37
479,W9403,Grivla,2007,2006,W9403_2007,W9403_2006,F,1993,14,WithCubs,-22.84,4.82,2.89,90,61,5/4/2007,5,1,2.67
NA,W9403,Grivla,2008,2007,W9403_2008,W9403_2007,F,1993,15,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
728,W9403,Grivla,2009,2008,W9403_2009,W9403_2008,F,1993,16,WithCubs,-23.03,4.08,2.67,92,63,4/22/2009,4,2,8.18
788,W9403,Grivla,2010,2009,W9403_2010,W9403_2009,F,1993,17,WithCubs,-22.95,4.52,2.8,87,57,4/14/2010,4,2,7.72
NA,W9403,Grivla,2011,2010,W9403_2011,W9403_2010,F,1993,18,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
632,W9403,Grivla,2012,2011,W9403_2012,W9403_2011,F,1993,19,SolitaryF,-22.67,5.02,2.95,NA,62,5/21/2012,5,2,5.52
583,W9403,Grivla,2013,2012,W9403_2013,W9403_2012,F,1993,20,WithCubs,-23.1,5.18,2.99,93,62.5,4/23/2013,4,2,5.69
NA,W9403,Grivla,2014,2013,W9403_2014,W9403_2013,F,1993,21,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W9403,Grivla,2015,2014,W9403_2015,W9403_2014,F,1993,22,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W9403,Grivla,2016,2015,W9403_2016,W9403_2015,F,1993,23,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W9403,Grivla,2017,2016,W9403_2017,W9403_2016,F,1993,24,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W9403,Grivla,2018,2017,W9403_2018,W9403_2017,F,1993,25,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W9403,Grivla,2019,2018,W9403_2019,W9403_2018,F,1993,26,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
52,W9404,Börrine,1996,1995,W9404_1996,W9404_1995,F,1993,3,SolitaryF,-22.23,3.73,2.57,68,53,4/20/1996,4,1,1.52
17,W9404,Börrine,1997,1996,W9404_1997,W9404_1996,F,1993,4,SolitaryF,-22.45,4.23,2.71,83.5,56,6/30/1997,6,1,1.04
162,W9404,Börrine,1999,1998,W9404_1999,W9404_1998,F,1993,6,WithCubs,-22.58,4.05,2.66,89,57,4/20/1999,4,1,2.73
271,W9404,Börrine,2002,2001,W9404_2002,W9404_2001,F,1993,9,WithCubs,-22.88,4.11,2.68,104,64,4/24/2002,4,1,2.62
370,W9404,Börrine,2004,2003,W9404_2004,W9404_2003,F,1993,11,SolitaryF,-22.66,4.38,2.76,105,63,6/9/2004,6,1,1.1
100,W9406,Raska,1994,1993,W9406_1994,W9406_1993,F,1993,1,WithMother,NA,NA,NA,18,38,4/15/1994,4,1,2.03
83,W9407,Rasken,1995,1994,W9407_1995,W9407_1994,M,1993,2,SolitaryM,NA,NA,NA,41,47,4/24/1995,4,1,2.56
53,W9407,Rasken,1996,1995,W9407_1996,W9407_1995,M,1993,3,SolitaryM,-22.35,3.74,2.57,68,56,4/19/1996,4,1,2.25
101,W9408,Rajsa,1994,1993,W9408_1994,W9408_1993,F,1993,1,WithMother,NA,NA,NA,16,37,4/15/1994,4,1,2.03
84,W9502,Binna,1995,1994,W9502_1995,W9502_1994,F,1994,1,WithMother,NA,NA,NA,27.5,41.5,4/20/1995,4,1,1.93
131/2,W9502,Binna,1998,1997,W9502_1998,W9502_1997,F,1994,4,SolitaryF,NA,NA,NA,90,60,4/8/1998,4,1,1.34
222,W9502,Binna,2000,1999,W9502_2000,W9502_1999,F,1994,6,WithCubs,-22.44,4.97,2.93,104,63,4/14/2000,4,1,2.27
272,W9502,Binna,2002,2001,W9502_2002,W9502_2001,F,1994,8,WithCubs,-22.86,4.2,2.71,88,62,4/19/2002,4,1,5.88
371,W9502,Binna,2004,2003,W9502_2004,W9502_2003,F,1994,10,WithCubs,-23.2,3.85,2.6,100,64,4/14/2004,4,1,3.03
85,W9503,Mira,1995,1994,W9503_1995,W9503_1994,F,1994,1,WithMother,NA,NA,NA,25,39.5,4/20/1995,4,1,2.32
54,W9503,Mira,1996,1995,W9503_1996,W9503_1995,F,1994,2,SolitaryF,NA,NA,NA,42,47.5,4/12/1996,4,1,2.97
132/2,W9503,Mira,1998,1997,W9503_1998,W9503_1997,F,1994,4,SolitaryF,NA,NA,NA,90,59,4/8/1998,4,1,0.99
86,W9504,Donna,1995,1994,W9504_1995,W9504_1994,F,1994,1,WithMother,NA,NA,NA,20,37.5,4/20/1995,4,1,2.45
55,W9504,Donna,1996,1995,W9504_1996,W9504_1995,F,1994,2,SolitaryF,-22.36,4.52,2.8,35,46.5,5/2/1996,5,1,2.15
18,W9504,Donna,1997,1996,W9504_1997,W9504_1996,F,1994,3,SolitaryF,-22.38,4.8,2.88,76,NA,6/30/1997,6,1,1.83
223,W9504,Donna,2000,1999,W9504_2000,W9504_1999,F,1994,6,WithCubs,-22.39,4.99,2.94,82,57,4/28/2000,4,1,3.1
56,W9505,Vrang-ola,1996,1995,W9505_1996,W9505_1995,M,1988,8,SolitaryM,-22.51,5.21,3,189,76,4/19/1996,4,1,1.47
19,W9505,Vrang-ola,1997,1996,W9505_1997,W9505_1996,M,1988,9,SolitaryM,-22.67,5.86,3.19,NA,77,4/18/1997,4,1,2.52
273,W9505,Vrang-ola,2002,2001,W9505_2002,W9505_2001,M,1988,14,SolitaryM,-22.9,6.15,3.28,215,82,4/11/2002,4,1,3.91
372,W9505,Vrang-ola,2004,2003,W9505_2004,W9505_2003,M,1988,16,SolitaryM,-23.25,6.2,3.29,228,83,4/30/2004,4,1,3.71
87,W9506,Kanis,1995,1994,W9506_1995,W9506_1994,M,1994,1,WithMother,NA,NA,NA,15,38,5/2/1995,5,1,3.71
20,W9506,Kanis,1997,1996,W9506_1997,W9506_1996,M,1994,3,SolitaryM,-22.48,4.07,2.67,53,50,4/29/1997,4,1,1.74
133/2,W9506,Kanis,1998,1997,W9506_1998,W9506_1997,M,1994,4,SolitaryM,NA,NA,NA,84,60,4/7/1998,4,1,0.94
163,W9506,Kanis,1999,1998,W9506_1999,W9506_1998,M,1994,5,SolitaryM,-22.09,4.85,2.9,134,67,4/9/1999,4,1,1.1
88,W9507,Riga,1995,1994,W9507_1995,W9507_1994,F,1994,1,WithMother,NA,NA,NA,17.5,40,5/2/1995,5,1,2.01
57,W9507,Riga,1996,1995,W9507_1996,W9507_1995,F,1994,2,SolitaryF,-22.76,3.64,2.54,28,42,4/22/1996,4,1,3.36
21,W9507,Riga,1997,1996,W9507_1997,W9507_1996,F,1994,3,SolitaryF,-22.3,4.36,2.75,43,44,4/29/1997,4,1,1.62
134,W9507,Riga,1998,1997,W9507_1998,W9507_1997,F,1994,4,SolitaryF,-22.33,4.37,2.76,65,54,4/27/1998,4,1,1.14
164,W9507,Riga,1999,1998,W9507_1999,W9507_1998,F,1994,5,SolitaryF,-22.07,4.74,2.86,82,59,4/12/1999,4,1,1.77
89,W9508,Läfto,1995,1994,W9508_1995,W9508_1994,M,1994,1,WithMother,NA,NA,NA,20,41,5/2/1995,5,1,3.98
58,W9508,Läfto,1996,1995,W9508_1996,W9508_1995,M,1994,2,SolitaryM,-23.12,3.84,2.6,42,49,4/12/1996,4,1,3.28
22,W9508,Läfto,1997,1996,W9508_1997,W9508_1996,M,1994,3,SolitaryM,-22.67,4.96,2.93,96.5,58,4/10/1997,4,1,1.59
135/2,W9508,Läfto,1998,1997,W9508_1998,W9508_1997,M,1994,4,SolitaryM,NA,NA,NA,142,65.5,4/7/1998,4,1,1.37
90,W9509,Puro,1995,1994,W9509_1995,W9509_1994,M,1994,1,WithMother,NA,NA,NA,29,46,5/3/1995,5,1,3.31
59,W9509,Puro,1996,1995,W9509_1996,W9509_1995,M,1994,2,SolitaryM,NA,NA,NA,47,49,4/9/1996,4,1,3.04
91,W9510,Palo,1995,1994,W9510_1995,W9510_1994,M,1994,1,WithMother,NA,NA,NA,28,43,5/3/1995,5,1,1.91
60,W9510,Palo,1996,1995,W9510_1996,W9510_1995,M,1994,2,SolitaryM,-22.77,3.4,2.47,44,48,4/13/1996,4,1,2.44
23,W9510,Palo,1997,1996,W9510_1997,W9510_1996,M,1994,3,SolitaryM,-23.24,7.74,3.75,77,53,5/30/1997,5,1,1.33
61,W9511,Riita,1996,1995,W9511_1996,W9511_1995,F,1985,11,SolitaryF,-22.06,4.23,2.71,99,62,7/9/1996,7,1,1.09
62,W9601,Jölla,1996,1995,W9601_1996,W9601_1995,F,1995,1,WithMother,NA,NA,NA,18.5,37,4/12/1996,4,1,2.95
24,W9601,Jölla,1997,1996,W9601_1997,W9601_1996,F,1995,2,SolitaryF,-22.21,5.13,2.98,41,46,4/16/1997,4,1,1.37
136,W9601,Jölla,1998,1997,W9601_1998,W9601_1997,F,1995,3,SolitaryF,-22.59,4.87,2.9,72,54,4/8/1998,4,1,1.47
63,W9602,Myra,1996,1995,W9602_1996,W9602_1995,F,1995,1,WithMother,-22.48,4.86,2.9,18,39,4/12/1996,4,1,2.8
25,W9602,Myra,1997,1996,W9602_1997,W9602_1996,F,1995,2,SolitaryF,-21.86,5.12,2.98,45,45,4/16/1997,4,1,0.67
64,W9603,Mossi_k4:1,1996,1995,W9603_1996,W9603_1995,M,1995,1,WithMother,-22.69,5.11,2.97,26.5,41,4/19/1996,4,1,2.65
65,W9605,Pila,1996,1995,W9605_1996,W9605_1995,F,1995,1,WithMother,NA,NA,NA,28,41,4/19/1996,4,1,2.28
26,W9605,Pila,1997,1996,W9605_1997,W9605_1996,F,1995,2,WithMother,-21.92,4.81,2.89,53,47,4/28/1997,4,1,0.68
137,W9605,Pila,1998,1997,W9605_1998,W9605_1997,F,1995,3,SolitaryF,-21.7,6.16,3.28,64,57,4/27/1998,4,1,0.8
66,W9606,Koska_k1:1,1996,1995,W9606_1996,W9606_1995,F,1995,1,WithMother,-23.22,4.67,2.84,21,41,4/20/1996,4,1,2.92
67,W9607,Koska_k1:2,1996,1995,W9607_1996,W9607_1995,F,1995,1,WithMother,-23.12,4.54,2.81,21,40,4/20/1996,4,1,2.73
68,W9608,Granfjällbjörn,1996,1995,W9608_1996,W9608_1995,M,1995,1,WithMother,-23.31,3.79,2.59,24,40,4/20/1996,4,1,3.25
138/2,W9608,Granfjällbjörn,1998,1997,W9608_1998,W9608_1997,M,1995,3,SolitaryM,NA,NA,NA,95,57,4/15/1998,4,1,1.97
69,W9609,Syndalsbjörn,1996,1995,W9609_1996,W9609_1995,M,1995,1,WithMother,-23.17,3.87,2.61,23,40,4/20/1996,4,1,3.55
27,W9609,Syndalsbjörn,1997,1996,W9609_1997,W9609_1996,M,1995,2,SolitaryM,NA,NA,NA,44,46,4/10/1997,4,1,2.43
139,W9609,Syndalsbjörn,1998,1997,W9609_1998,W9609_1997,M,1995,3,SolitaryM,-22.46,4.35,2.75,73,56,4/15/1998,4,1,2
70,W9610,Öjskogsbjörn,1996,1995,W9610_1996,W9610_1995,M,1995,1,WithMother,-23.15,3.99,2.64,26,42,4/20/1996,4,1,4.11
140,W9610,Öjskogsbjörn,1998,1997,W9610_1998,W9610_1997,M,1995,3,SolitaryM,-22.53,4.04,2.66,71,56,4/15/1998,4,1,1.85
28,W9611,Männiku,1997,1996,W9611_1997,W9611_1996,M,1995,2,SolitaryM,-22.58,4.57,2.81,33,44,4/29/1997,4,1,2.65
141,W9611,Männiku,1998,1997,W9611_1998,W9611_1997,M,1995,3,SolitaryM,-22.46,4.16,2.69,61,52,4/6/1998,4,1,2.06
165,W9611,Männiku,1999,1998,W9611_1999,W9611_1998,M,1995,4,SolitaryM,-22.52,5.12,2.98,NA,61,8/21/1999,8,1,3.5
71,W9612,Hauku,1996,1995,W9612_1996,W9612_1995,M,1995,1,WithMother,-22.72,4.8,2.88,28,43,4/21/1996,4,1,2.54
29,W9612,Hauku,1997,1996,W9612_1997,W9612_1996,M,1995,2,SolitaryM,-22.33,4.43,2.77,49.5,50,4/29/1997,4,1,2.5
142,W9612,Hauku,1998,1997,W9612_1998,W9612_1997,M,1995,3,SolitaryM,-22.62,4.75,2.87,81,59,4/8/1998,4,1,1.98
166,W9612,Hauku,1999,1998,W9612_1999,W9612_1998,M,1995,4,SolitaryM,-22.75,5.55,3.1,135,67,4/9/1999,4,1,2.03
72,W9613,Tikka,1996,1995,W9613_1996,W9613_1995,F,1995,1,WithMother,-22.93,4.44,2.78,26,43,4/21/1996,4,1,3.96
73,W9614,Vässin,1996,1995,W9614_1996,W9614_1995,M,1995,1,WithMother,-22.43,4.83,2.89,25,40,4/22/1996,4,1,3.4
143,W9614,Vässin,1998,1997,W9614_1998,W9614_1997,M,1995,3,SolitaryM,-22.5,4.51,2.8,71,53,4/16/1998,4,1,2.01
74,W9615,Keiko,1996,1995,W9615_1996,W9615_1995,F,1995,1,WithMother,-22.51,4.48,2.79,21,39.5,4/22/1996,4,1,4.2
329,W9615,Keiko,2003,2002,W9615_2003,W9615_2002,F,1995,8,WithCubs,-22.3,4.35,2.75,92,58,4/23/2003,4,1,2.99
882,W9615,Keiko,2005,2004,W9615_2005,W9615_2004,F,1995,10,WithCubs,-22.76,3.88,2.61,95,62,4/27/2005,4,2,6.9
480,W9615,Keiko,2007,2006,W9615_2007,W9615_2006,F,1995,12,WithCubs,-22.85,4.95,2.93,106,63,4/16/2007,4,1,2.22
729,W9615,Keiko,2009,2008,W9615_2009,W9615_2008,F,1995,14,WithCubs,-22.7,4.36,2.75,105,63,4/22/2009,4,2,11.17
NA,W9615,Keiko,2010,2009,W9615_2010,W9615_2009,F,1995,15,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
664,W9615,Keiko,2011,2010,W9615_2011,W9615_2010,F,1995,16,WithCubs,-22.15,4.61,2.83,90,58,4/20/2011,4,2,12.77
NA,W9615,Keiko,2012,2011,W9615_2012,W9615_2011,F,1995,17,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
30,W9701,Bjoke,1997,1996,W9701_1997,W9701_1996,M,1996,1,WithMother,-23,4.77,2.87,35.5,39,4/15/1997,4,1,3.58
31,W9702,Grane,1997,1996,W9702_1997,W9702_1996,M,1996,1,WithMother,-23.01,4.88,2.91,35,40,4/15/1997,4,1,2.94
32,W9703,Tekla,1997,1996,W9703_1997,W9703_1996,F,1996,1,WithMother,-22.19,5.85,3.19,37,43,4/16/1997,4,1,2.14
33,W9704,Bamse,1997,1996,W9704_1997,W9704_1996,M,1996,1,WithMother,-22.61,5.66,3.14,43,45,4/17/1997,4,1,2.01
34,W9705,Björe,1997,1996,W9705_1997,W9705_1996,M,1996,1,WithMother,-22.43,5.52,3.09,34,43.5,4/17/1997,4,1,1.22
144,W9801,Lohos,1998,1997,W9801_1998,W9801_1997,M,1997,1,WithMother,-22.86,4.63,2.83,25.5,41,4/14/1998,4,1,2.75
145,W9802,Blinde,1998,1997,W9802_1998,W9802_1997,M,1983,15,SolitaryM,-22.76,6.38,3.35,172,74,4/14/1998,4,1,2.06
146,W9803,Nita,1998,1997,W9803_1998,W9803_1997,F,1997,1,WithMother,-22.48,5.23,3.01,28,43,4/15/1998,4,1,2.04
147,W9804,Borregaard,1998,1997,W9804_1998,W9804_1997,F,1997,1,WithMother,-22.77,4.81,2.89,27,43,4/15/1998,4,1,2.58
243,W9804,Borregaard,2001,2000,W9804_2001,W9804_2000,F,1997,4,SolitaryF,-22.31,4.3,2.74,71,54.5,4/27/2001,4,1,2.94
860,W9804,Borregaard,2003,2002,W9804_2003,W9804_2002,F,1997,6,WithCubs,-22.48,4.13,2.69,64,56,4/14/2003,4,2,16.2
414,W9804,Borregaard,2005,2004,W9804_2005,W9804_2004,F,1997,8,WithCubs,NA,NA,NA,74,55,4/18/2005,4,1,2.86
413,W9804,Borregaard,NA,NA,W9804_NA,W9804_NA,F,1997,NA,NA,-23.03,4.95,2.93,NA,NA,NA,13,1,NA
148,W9805,Rensjö_k5:2,1998,1997,W9805_1998,W9805_1997,F,1997,1,WithMother,-22.82,4.8,2.88,25,40,4/15/1998,4,1,3.1
149,W9806,Femma,1998,1997,W9806_1998,W9806_1997,F,1996,2,NA,-22.28,4.43,2.77,43,47,4/16/1998,4,1,1.57
167,W9806,Femma,1999,1998,W9806_1999,W9806_1998,F,1996,3,SolitaryF,-22.25,4.54,2.81,62,54,4/11/1999,4,1,2.94
224,W9806,Femma,2000,1999,W9806_2000,W9806_1999,F,1996,4,SolitaryF,-22.19,4.86,2.9,NA,58,4/17/2000,4,1,8.37
415,W9806,Femma,2005,2004,W9806_2005,W9806_2004,F,1996,9,WithCubs,-22.87,4.29,2.73,94,64,4/15/2005,4,1,3.6
481,W9806,Femma,2007,2006,W9806_2007,W9806_2006,F,1996,11,WithCubs,-23.01,4.63,2.83,91,64,4/19/2007,4,1,3.31
NA,W9806,Femma,2008,2007,W9806_2008,W9806_2007,F,1996,12,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
168,W9807,Silias,1999,1998,W9807_1999,W9807_1998,M,1988,11,SolitaryM,-22.75,7.37,3.64,178,74,4/8/1999,4,1,1.93
330,W9807,Silias,2003,2002,W9807_2003,W9807_2002,M,1988,15,SolitaryM,-22.42,4.17,2.7,NA,NA,NA,13,1,2.65
150,W9808,Eja,1998,1997,W9808_1998,W9808_1997,F,1997,1,WithMother,-22.83,4.51,2.8,24,42,4/18/1998,4,1,3.06
