sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
609,W1206,Klumpa,2013,2012,W1206_2013,W1206_2012,F,2011,2,WithMother,-23.25,5.18,2.99,NA,54,6/11/2013,6,2,3.88
720,W1206,Klumpa,2015,2014,W1206_2015,W1206_2014,F,2011,4,SolitaryF,-23.75,5.66,3.14,90.6,60,4/16/2015,4,2,6.33
717,W1206,Klumpa,2016,2015,W1206_2016,W1206_2015,F,2011,5,SolitaryF,-24.02,6.15,3.28,120,65,4/30/2016,4,2,4.64
NA,W1206,Klumpa,2017,2016,W1206_2017,W1206_2016,F,2011,6,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
661,W1207,Linde,2012,2011,W1207_2012,W1207_2011,M,2011,1,WithMother,-23.39,5.38,3.05,20,42,5/3/2012,5,2,10.11
662,W1208,Bytras,2012,2011,W1208_2012,W1208_2011,M,2009,3,SolitaryM,-23.75,5.71,3.15,53.5,53,5/6/2012,5,2,7.23
663,W1209,Järpa,2012,2011,W1209_2012,W1209_2011,F,2011,1,WithMother,-23.65,5.44,3.07,NA,37,5/21/2012,5,2,9.71
NA,W1209,Järpa,2015,2014,W1209_2015,W1209_2014,F,2011,4,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
570,W1209,Järpa,2016,2015,W1209_2016,W1209_2015,F,2011,5,SolitaryF,-23.25,4.56,2.81,55,52,4/28/2016,4,2,8.57
610,W1210,Labben,2013,2012,W1210_2013,W1210_2012,M,2008,5,SolitaryM,-23.4,4.6,2.82,85,62,4/17/2013,4,2,7.01
NA,W1210,Labben,2014,2013,W1210_2014,W1210_2013,M,2008,6,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1210,Labben,2015,2014,W1210_2015,W1210_2014,M,2008,7,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
611,W1211,Tappele,2013,2012,W1211_2013,W1211_2012,M,2000,13,SolitaryM,-23.26,6.09,3.26,172,72.5,4/19/2013,4,2,10.43
NA,W1211,Tappele,2014,2013,W1211_2014,W1211_2013,M,2000,14,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1211,Tappele,2015,2014,W1211_2015,W1211_2014,M,2000,15,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1211,Tappele,2016,2015,W1211_2016,W1211_2015,M,2000,16,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1211,Tappele,2017,2016,W1211_2017,W1211_2016,M,2000,17,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
612,W1301,Slindor,2013,2012,W1301_2013,W1301_2012,M,2012,1,WithMother,-23.52,5,2.94,17,39.5,4/22/2013,4,2,8.03
613,W1302,Bäcker,2013,2012,W1302_2013,W1302_2012,M,2012,1,WithMother,-23.64,4.81,2.89,17,40,4/22/2013,4,2,9.64
614,W1303,Lillsloga,2013,2012,W1303_2013,W1303_2012,F,2012,1,WithMother,-23.18,5.46,3.08,19,40.5,4/23/2013,4,2,7.66
615,W1304,Bergsloga,2013,2012,W1304_2013,W1304_2012,F,2012,1,WithMother,-23.14,5.66,3.14,19,39,4/23/2013,4,2,12.79
573,W1304,Bergsloga,2016,2015,W1304_2016,W1304_2015,F,2012,4,SolitaryF,-23.32,4.75,2.87,48.8,49.5,4/26/2016,4,2,7.32
NA,W1304,Bergsloga,2017,2016,W1304_2017,W1304_2016,F,2012,5,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1304,Bergsloga,2018,2017,W1304_2018,W1304_2017,F,2012,6,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
616,W1305,Flickran,2013,2012,W1305_2013,W1305_2012,F,2012,1,WithMother,-23.03,4.8,2.88,21.5,36,4/29/2013,4,2,9.81
572,W1305,Flickran,2016,2015,W1305_2016,W1305_2015,F,2012,4,SolitaryF,-23.09,4.83,2.89,72,55,4/27/2016,4,2,6.98
NA,W1305,Flickran,2017,2016,W1305_2017,W1305_2016,F,2012,5,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1305,Flickran,2018,2017,W1305_2018,W1305_2017,F,2012,6,WithCubs,NA,NA,NA,NA,NA,NA,13,NA,NA
617,W1306,Härkä,2013,2012,W1306_2013,W1306_2012,M,2012,1,WithMother,-22.97,4.83,2.89,23,41,4/29/2013,4,2,8.84
618,W1307,Tunplutten,2013,2012,W1307_2013,W1307_2012,M,2012,1,WithMother,-23.47,4.99,2.94,10,35.5,4/29/2013,4,2,12.35
NA,W1307,Tunplutten,2016,2015,W1307_2016,W1307_2015,M,2012,4,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
619,W1308,Pendon,2013,2012,W1308_2013,W1308_2012,M,2012,1,WithMother,-23.36,4.86,2.9,15,36,4/29/2013,4,2,11.34
620,W1309,Fulunäsa,2013,2012,W1309_2013,W1309_2012,F,2012,1,WithMother,-22.12,5.3,3.03,21,40,4/30/2013,4,2,10.79
